abandoned,បោះបង់ចោល
matching,ផ្គូផ្គង
material,សម្ភារៈ
materials,សម្ភារៈ
maternity,មាតុភាព
math,គណិតវិទ្យា
mathematical,គណិតវិទ្យា
mathematics,គណិតវិទ្យា
mating,ការរួមរ័ក
matrix,ម៉ាទ្រីស
mats,កម្រាល
matt,ម៉ាត់
matter,បញ្ហា
matters,បញ្ហា
matthew,ម៉ាថាយ
mattress,ពូក
mature,ចាស់ទុំ
mauritius,ម៉ូរីស
max,អតិបរមា
maximize,ពង្រីកអតិបរមា
maximum,អតិបរមា
may,អាច
maybe,ប្រហែល
mayor,អភិបាលក្រុង
mazda,រថយន្តម៉ាកMAZDA
mba,MBA
mcdonald,ម៉ាក់ដូណាល់
meal,អាហារ
meals,អាហារ
mean,មធ្យម
mean,មានន័យ
meaning,អត្ថន័យ
meaningful,មានអត្ថន័យ
meanwhile,ខណៈនេះ
measure,រង្វាស់
measured,បានវាស់វែង
measurement,ការវាស់វែង
measurements,ការវាស់វែង
measures,វិធានការ
measuring,ការវាស់វែង
meat,សាច់
mechanical,មេកានិច
mechanics,មេកានិច
mechanism,យន្តការ
mechanisms,យន្តការ
medal,មេដាយ
media,មេឌា
median,មធ្យម
medical,វេជ្ជសាស្ត្រ
medicare,ពេទ្យ
medication,ថ្នាំ
medications,ថ្នាំបង្ការ
medicine,ថ្នាំ
medicines,ឱសថ
medieval,មជ្ឈិមសម័យ
meditation,សមាធិ
mediterranean,មេឌីទែរ៉ាណេ
medium,មធ្យម
medline,មេឌៀ
meeting,ការប្រជុំ
meetings,ការប្រជុំ
melbourne,មែលប៊ន
member,សមាជិក
membership,សមាជិកភាព
membrane,ភ្នាសកោសិកា
memo,អនុសរណៈ
memorabilia,វត្ថុអនុស្សាវរីយ៍
memorial,អនុស្សាវរីយ៍
memories,អង្គចងចាំ
memory,អង្គចងចាំ
memphis,មេមហ្វីស
mental,ផ្លូវចិត្ត
mention,លើកឡើង
mentioned,បានរៀបរាប់
mentor,ការណែនាំ
menu,ម៉ឺនុយ
mercedes,រថយន្តMercedes
merchandise,ទំនិញ
merchant,ពាណិជ្ជករ
mercury,បារត
mercy,មេត្តាករុណា
mere,ធម្មតា
merely,គ្រាន់តែ
merge,បញ្ចូលចូលគ្នា
merger,ការរំលាយបញ្ជូលគ្នា
merit,ស័ក្តិសម
merry,រីករាយ
mesh,សំណាញ់
mess,ច្របូកច្របល់
message,សារ
messages,សារ
messaging,សារ
messenger,អ្នកនាំសារ
met,បានជួប
meta,មេតា
metabolism,ការរំលាយអាហារ
metadata,ទិន្នន័យមេតា(Metadata)
metal,លោហៈ
metallic,លោហធាតុ
metallica,លោហធាតុ
metals,លោហ
meter,ម៉ែត្រ
meters,ម៉ែត្រ
method,វិធីសាស្រ្ត
methodology,វិធីសាស្រ្ត
methods,វិធីសាស្រ្ត
metres,ម៉ែត្រ
metric,ប្រព័ន្ធម៉ែត្រ
metro,មេត្រូ
metropolitan,ទីប្រជុំជន
mexican,ម៉ិកស៊ិក
mexico,ម៉ិកស៊ិក
mg,មីលីក្រាម
mhz,MHz
miami,ម៉ៃអាមី
mic,មីក្រូហ្វូន
mice,កណ្ដុរ
michael,ម៉ៃឃើល
michel,មីឆែល
michelle,មីសែល
michigan,មីឈីហ្គែន
micro,មីក្រូ
microphone,មីក្រូ
microsoft,ម៉ៃក្រូសូហ្វ
microwave,ម៉ាយក្រូវេវ
mid,ពាក់កណ្តាល
middle,កណ្តាល
midi,កម្មវិធីបង្កើតលំដាប់មីឌី
midlands,មីដលែនស៍
midnight,ពាក់កណ្តាលអធ្រាត្រ
midwest,មជ្ឈិមបូព៌ា
might,អាច
mighty,មានអានុភាព
migration,ការធ្វើចំណាកស្រុក
mike,ម៉ៃឃើល
mil,លានដុល្លារអាមេរិក
milan,មីលែន
mild,កម្រិតស្រាល
mile,ម៉ាយ
mileage,ចំងាយប្រើរួច
miles,ម៉ាយល៍
military,យោធា
milk,ទឹកដោះគោ
mill,រោងម៉ាស៊ីនកិនស្រូវ
millennium,សហស្សវត្សរ៍
miller,រោងម៉ាស៊ីនកិនស្រូវ
million,លាន
millions,រាប់លាន
mills,រោងម៉ាស៊ីនកិនស្រូវ
milton,នីឡា
milwaukee,មីលវូគី
mime,ប្រភេទMIME
min,នាទី
mind,ចិត្ត
minds,គំនិត
mine,របស់ខ្ញុំ
mineral,រ៉ែ
minerals,ការជីកយករ៉ែ
mines,មីន
mini,ខ្នាតតូច
miniature,រូបភាពតូច
minimal,តិចតួចបំផុត
minimize,បង្រួមអប្បបរមា
minimum,អប្បបរមា
mining,ការជីកយករ៉ែ
minister,រដ្ឋមន្ត្រី
ministers,រដ្ឋមន្ត្រី
ministries,ក្រសួង
ministry,ក្រសួង
minneapolis,មីនៀប៉ូលីស
minnesota,មីនីសូតា
minolta,មីណូតា
minor,អនីតិជន
minority,ជនជាតិភាគតិច
mins,នាទី
mint,ជីអង្កាម
minus,វិធីដក
minute,នាទី
minutes,នាទី
miracle,ដែលចម្លែកឬអស្ចារ្យហ្មង
mirror,កញ្ចក់
mirrors,កញ្ចក់
misc,ផ្សេងៗ
miscellaneous,ផ្សេងៗ
miss,នឹក
missed,ខកខាន
missile,មីស៊ីល
missing,បាត់
mission,បេសកកម្ម
missions,បេសកកម្ម
mississippi,មីស៊ីស៊ីពី
missouri,មីសសួរី
mistake,កំហុស
mistakes,កំហុស
mistress,ស្រីស្នេហ៍
mitchell,មីតឆេល
mitsubishi,ក្រុមហ៊ុនMitsubishi
mix,លាយ
mixed,លាយ
mixer,ឧបករណ៍លាយ
mixing,ការលាយគ្នា
mixture,ល្បាយ
ml,មីលីលីត្រ
mm,មីលីម៉ែត្រ
mobile,ទូរស័ព្ទចល័ត
mobiles,ទូរស័ព្ទចល័ត
mobility,ភាពចល័ត
mod,ម៉ូដ
mode,របៀប
model,គំរូ
model,ម៉ូឌែល
model,ម៉ូដែល
modeling,ការធ្វើគំរូ
modelling,គំរូ
models,គំរូ
modem,ម៉ូដឹម
modems,ម៉ូឌឹម
moderate,មធ្យម
moderator,អ្នកសម្របសម្រួល
moderators,អ្នកសម្របសម្រួល
modern,ទំនើប
modes,របៀប
modification,ការកែប្រែ
modifications,កែប្រែ
modified,កែប្រែ
modify,កែប្រែ
mods,របៀប
modular,ម៉ូឌុល
module,ម៉ូឌុល
modules,ម៉ូឌុល
moisture,សំណើម
mold,ផ្សិត
moldova,ម៉ុលដូវ៉ា
molecular,ម៉ូលេគុល
molecules,ម៉ូលេគុល
mom,ម៉ាក់
moment,ពេល
moments,គ្រា
moms,មាតា
monaco,ម៉ូណាកូ
monday,ថ្ងៃច័ន្ទ
monetary,រូបិយវត្ថុ
money,លុយ
mongolia,ប្រទេសម៉ុងហ្គោលី
monitor,ម៉ូនីទ័រ
monitored,បានត្រួតពិនិត្យ
monitoring,ការត្រួតពិនិត្យ
monitors,ម៉ូនីទ័រ
monkey,សត្វស្វា
mono,ម៉ូណូ
monster,បិសាច
monsters,បីសាច
montana,ម៉ុងតាណា
monte,ភ្នំ
month,ខែ
monthly,ប្រចាំខែ
months,ខែ
montreal,ម៉ុងរ៉េអាល់
mood,អារម្មណ៍
moon,ព្រះច័ន្ទ
moral,សីលធម៌
more,ច្រើន
moreover,លើសពីនេះទៅទៀត
morgan,ម័រហ្គែន
morning,ព្រឹក
morocco,ម៉ារ៉ុក
morris,ម៉ូរីស
mortality,មរណភាព
mortgage,កម្ចីទិញផ្ទះ
mortgages,បញ្ចាំ
moscow,មូស្គូ
moses,លោកម៉ូសេ
moss,ស្លែ
most,ភាគច្រើន
mostly,ភាគច្រើន
motel,ផ្ទះសំណាក់
motels,ម៉ូតែល
mother,ម្តាយ
motherboard,ផ្ទាំងមេ
mothers,ម្តាយ
motion,ចលនា
motivated,ការលើកទឹកចិត្ត
motivation,ការលើកទឹកចិត្ត
motor,ម៉ូទ័រ
motorcycle,ម៉ូតូ
motorcycles,ម៉ូតូ
motorola,ម៉ូតូរ៉ូឡា
motors,ម៉ូទ័រ
mount,ម៉ោន
mountain,ភ្នំ
mountains,ភ្នំ
mounted,បានម៉ោន
mounting,កំពុងម៉ោន
mounts,ម៉ោន
mouse,កណ្ដុរ
mouth,មាត់
move,ផ្លាស់ទី
moved,ផ្លាស់ទី
movement,ចលនា
movements,ការផ្លាស់ទី
movers,អ្នកផ្លាស់ទី
moves,ផ្លាស់ទី
movie,ខ្សែភាពយន្ត
movies,ខ្សែភាពយន្ត
moving,ផ្លាស់ទី
mozambique,ម៉ូសំប៊ិក
mozilla,Mozilla
mp,មេហ្គាភិកសែល
mpeg,កម្មវិធីចាក់MPEG
mph,ម៉ាយក្នុងមួយម៉ោង
mr,លោក
mrs,លោកស្រី
msg,បញ្ចប់អ៊ីមែល
msie,មីស៊ី
much,ច្រើន
mud,ភក់
mug,ពែង
multi,ច្រើន
multimedia,ពហុព័ត៌មាន
multiple,ច្រើន
munich,ទីក្រុងម៉ូនីច
municipal,ក្រុង
municipality,ក្រុង
murder,ឃាតកម្ម
muscle,សាច់ដុំ
muscles,សាច់ដុំ
museum,សារមន្ទីរ
museums,សារមន្ទីរ
music,តន្ត្រី
musical,តន្ត្រី
musician,តន្ត្រីករ
musicians,តន្ត្រីករ
muslim,មូស្លីម
muslims,មូស្លីម
must,ត្រូវតែ
mutual,ទៅវិញទៅមក
muze,
mw,មេហ្គាវ៉ាត់
my,របស់ខ្ញុំ
myanmar,មីយ៉ាន់ម៉ា
myself,ខ្លួនខ្ញុំផ្ទាល់
mysimon,មីស៊ីម៉ូន
myspace,ទស្សនាគេហទំព័រMySpace
mysql,MySQL
mysterious,អាថ៌កំបាំង
mystery,អាថ៌កំបាំង
myth,រឿងទេវកថា
myth,ជំនឿខុសឆ្គង
nail,ក្រចក
nails,ក្រចក
naked,អាក្រាត
name,ឈ្មោះ
named,មានឈ្មោះ
namely,ពោលគឺ
names,ឈ្មោះ
namibia,ណាមីប៊ី
nancy,ណាន់ស៊ី
narrative,និទានកថា
narrow,ចង្អៀត
nasa,ណាសា
nascar,ណាស្កា
nasdaq,Nasdaq
nashville,ណាសវីល
nasty,អាក្រក់
nation,ជាតិ
national,ជាតិ
nationally,ជាតិ
nations,ប្រជាជាតិ
nationwide,ទូទាំងប្រទេស
native,ជនជាតិដើម
nato,ណាតូ
natural,ធម្មជាតិ
naturally,ចាស៎?
naturals,ធម្មជាតិ
nature,ធម្មជាតិ
naughty,អាក្រក់
nav,នាវាចម្បាំង
navigate,រុករក
navigation,ការរុករក
navigator,កម្មវិធីរុករក
navy,កងទ័ពជើងទឹក
near,នៅជិត
nearby,នៅជិត
nearest,ជិតបំផុត
nearly,ជិត
nebraska,នេប្រាស្កា
necessarily,ចាំបាច់
necessary,ចាំបាច់
necessity,ភាពចាំបាច់
necklace,ខ្សែក្រវ៉ាត់
need,ត្រូវការ
needed,ត្រូវការ
needle,ម្ជុល
needs,ត្រូវការ
negative,អវិជ្ជមាន
negotiation,ការចរចា
negotiations,ការចរចារ
neighbor,អ្នកជិតខាង
neighborhood,សង្កាត់
neighbors,អ្នកជិតខាង
neil,នីល
neither,ទាំង
nelson,ណិលសុន
neon,ណេអុង
nepal,នេប៉ាល់
nerve,សរសៃប្រសាទ
nervous,ភ័យ
nest,សំបុក
nested,កិច្ចការក្នុង
netherlands,ហូឡង់
network,បណ្តាញ
networking,បណ្តាញ
networks,បណ្តាញ
neural,សរសៃប្រសាទ
neutral,អព្យាក្រឹត
nevada,ណេវ៉ាដា
never,មិនដែល
nevertheless,ទោះយ៉ាងណាក៏ដោយ
newbie,អ្នកថ្មី
newcastle,នូវកាសល៍
newer,លំនាំថ្មី
newest,ថ្មីបំផុត
newly,ថ្មីៗ
newman,newman
news,ព័ត៌មាន
newsletter,ព្រឹត្តិបត្រ
newsletters,ព្រឹត្តិបត្រ
newspaper,កាសែត
newspapers,កាសែត
newton,ញ៉ូតុន
next,បន្ទាប់
nextel,បន្ទាប់
nicaragua,នីការ៉ាហ្គ័រ
nice,ស្អាត
nicholas,នីកូឡាសសង្ឃឹម
nickel,នីកែល
nickname,សម្មតិនាម
nicole,នីកូល
nigeria,នីហ្សេរីយ៉ា
night,យប់
nightlife,ជីវិតពេលរាត្រី
nightmare,សុបិន្តអាក្រក់
nights,យប់
nikon,នីកុន
nine,ប្រាំបួន
nintendo,នីនថេនដូ
nipple,ក្បាលសុដន់
nipples,ក្បាលសុដន់
nissan,នីសាន់
nitrogen,នីត្រូសែន
noble,ដ៏ថ្លៃថ្នូ
nobody,គ្មាននរណាម្នាក់
node,ថ្នាំង
noise,សំលេងរំខាន
nokia,ណូគា
nominated,បានតែងតាំង
nomination,ការតែងតាំង
nominations,ការតែងតាំង
none,គ្មាន
nonprofit,មិនរកប្រាក់ចំណេញ
noon,ថ្ងៃត្រង់
norm,បទដ្ឋាន
normal,ធម្មតា
normally,ជាធម្មតា
north,ខាងជើង
northeast,ភាគឦសាន
northern,ខាងជើង
northwest,ភាគពាយ័ព្យ
norway,ន័រវែស
norwegian,ភាសាន័រវែស
nose,ច្រមុះ
note,កំណត់ចំណាំ
notebook,សៀវភៅកត់ត្រា
notebooks,សៀវភៅកត់ត្រា
noted,បានកត់សម្គាល់
notes,កំណត់ចំណាំ
nothing,គ្មានអ្វីទេ
notice,សេចក្តីជូនដំណឹង
noticed,បានកត់សម្គាល់
notices,សេចក្តីជូនដំណឹង
notification,ការជូនដំណឹង
notifications,ការជូនដំណឹង
notified,ការជូនដំណឹង
notify,ជូនដំណឹង
notion,គំនិត
nova,ណូវ៉ា
novel,ប្រលោមលោក
novels,ប្រលោមលោក
novelty,ភាពប្លែក
november,វិច្ឆិកា
now,ឥឡូវនេះ
nowhere,គ្មានកន្លែង
nuclear,នុយក្លេអ៊ែរ
nude,អាក្រាត
nudist,អាក្រាត
nudity,អាក្រាត
null,មោឃៈ
number,លេខ
numbers,លេខ
numeric,លេខ
numerical,ការបកស្រាយទិន្នន័យ
numerous,ជាច្រើន
nurse,គិលានុបដ្ឋាយិកា
nursery,ទារកដ្ឋាន
nurses,គិលានុបដ្ឋាយិកា
nursing,ថែទាំ
nut,គ្រាប់
nutrition,អាហារូបត្ថម្ភ
nutten,គ្រាប់ធញ្ញជាតិ
nvidia,NVIDIA
nylon,នីឡុង
oak,ដើមឈើអុក
obesity,ភាពធាត់ខ្លាំង
obituaries,មរណភាព
object,វត្ថុ
objective,គោលបំណង
objective,សត្យានុម័ត
objective,គោលបំណង
objects,វត្ថុ
obligation,កាតព្វកិច្ច
obligations,កាតព្វកិច្ច
observation,ការសង្កេត
observations,ការសង្កេត
observe,សង្កេត
observed,បានសង្កេត
observer,អ្នកអង្កេត
obtain,ទទួលបាន
obtained,ទទួលបាន
obtaining,ការទទួលបាន
obvious,ជាក់ស្តែង
obviously,ជាក់ស្តែង
occasion,ឱកាស
occasional,ម្តងម្កាល
occasionally,ម្ដងម្កាល
occasions,ឱកាស
occupation,មុខរបរ
occupational,មុខរបរ
occupations,មុខរបរ
occupied,បានកាន់កាប់
occur,កើតឡើង
occurred,បានកើតឡើង
occurrence,ការកើតឡើង
occurring,កំពុងកើតមាន
occurs,កើតឡើង
ocean,មហាសមុទ្រ
october,តុលា
odd,សេស
of,នៃ
off,បិទ
offense,បទល្មើស
offensive,ការវាយបក
offer,ការផ្តល់ជូន
offered,ផ្តល់ជូន
offering,ការផ្តល់ជូន
offerings,តង្វាយ
offers,ការផ្តល់ជូន
office,ការិយាល័យ
officer,មន្ត្រី
officers,មន្ត្រី
offices,ការិយាល័យ
official,ផ្លូវការ
officially,ជាផ្លូវការ
officials,មន្ត្រី
offline,ក្រៅបណ្តាញ
offset,អុហ្វសិត
offshore,នៅបរទេស
often,ជាញឹកញាប់
oh,អូ
ohio,អូហៃអូ
oil,ប្រេង
oils,ប្រេង
ok,យល់ព្រម
okay,មិនអីទេ
oklahoma,អូក្លាហូម៉ា
old,ចាស់
older,ចាស់ជាង
oldest,ចាស់ជាងគេ
olive,អូលីវ
oliver,អូលីវើរ
olympic,អូឡាំពិក
olympics,អូឡាំពិក
olympus,អូឡាំពិក
oman,អូម៉ង់
omega,អូមេហ្គា
omissions,ការលុបចោល
once,ម្តង
one,មួយ
ones,មួយ
ongoing,កំពុងបន្ត
onion,ខ្ទឹមបារាំង
online,អនឡាញ
only,ត្រឹមតែ
ontario,អនតារីយ៉ូ
onto,លើ
oops,អូ៎!
open,បើក
opened,បានបើក
opening,ការបើក
openings,ការបើកចំហ
opens,បើក
opera,ល្ខោនអូប៉េរ៉ា
operate,ដំណើរការ
operated,បានដំណើរការ
operates,ប្រតិបត្ដិការ
operating,ប្រតិបត្តិការ
operation,ប្រតិបត្តិការ
operational,ប្រតិបត្តិការ
operations,ប្រតិបត្តិការ
operator,ប្រតិបត្តិករ
operators,ប្រតិបត្តិករ
opinion,មតិ
opinions,មតិ
opponent,សត្រូវ
opponents,គូប្រជែង
opportunities,ឱកាស
opportunity,ឱកាស
opposed,ការជំទាស់
opposite,ទល់មុខ
opposition,ការប្រឆាំង
optical,អុបទិក
optics,អុបទិក
optimal,ល្អបំផុត
optimization,បង្កើនប្រសិទ្ធភាព
optimize,បង្កើនប្រសិទ្ធភាព
optimum,ល្អបំផុត
option,ជម្រើស
optional,ស្រេចចិត្ត
options,ជម្រើស
or,ឬ
orange,ទឹកក្រូច
orbit,គន្លង
orchestra,វង់ភ្លេង
order,បញ្ជាទិញ
ordered,បានបញ្ជា
ordering,បញ្ជាទិញ
orders,បញ្ជាទិញ
ordinance,ទោសប្បញ្ញត្តិ
ordinary,ធម្មតា
oregon,អូរីហ្គិន
organ,សរីរៈ
organic,សរីរាង្គ
organisation,អង្គការ
organisations,អង្គការ
organised,ត្រូវបានរៀបចំ
organisms,សារពាង្គកាយ
organization,អង្គការ
organizational,អង្គការ
organizations,អង្គការ
organize,រៀបចំ
organized,រៀបចំ
organizer,កម្មវិធីរៀបចំ
organizing,រៀបចំ
orgasm,អ័រម៉ូន
oriental,មជ្ឈិមបូព៌ា
orientation,ការតំរង់ទិស
oriented,តម្រង់ទិស
origin,ប្រភពដើម
original,ដើម
originally,ដើម
origins,ប្រភពដើម
orlando,អ័រឡង់ដូ
orleans,អ័រលីន
os,ប្រព័ន្ធប្រតិបត្តិការ
oscar,អូស្ការ
other,ផ្សេងទៀត
others,ផ្សេងទៀត
otherwise,បើមិនដូច្នេះទេ
ottawa,អូតាវ៉ា
ought,គួរតែ
our,របស់យើង
ours,របស់យើង
ourselves,ខ្លួនយើង
out,ក្រៅ
outcome,លទ្ធផល
outcomes,លទ្ធផល
outdoor,ក្រៅ
outdoors,នៅខាងក្រៅ
outer,ខាងក្រៅ
outlet,ច្រកចេញ
outlets,ហាងលក់ឡៃឡុង
outline,គ្រោង
outlined,បានគ្រោងទុក
outlook,ទស្សនវិស័យ
output,ទិន្នផល
outputs,លទ្ធផល
outreach,ការផ្សព្វផ្សាយ
outside,នៅខាងក្រៅ
outsourcing,ធនធានខាងក្រៅ
outstanding,ពូកែ
oval,រាងពងក្រពើរ
oven,ឡរ
over,លើស
overall,រួម
overcome,យកឈ្នះ
overhead,ពីលើ
overnight,ពេញមួយយប់
overseas,ក្រៅប្រទេស
overview,ទិដ្ឋភាពទូទៅ
own,ផ្ទាល់ខ្លួន
owned,ជាកម្មសិទ្ធិ
owner,ម្ចាស់
owners,ម្ចាស់
ownership,កម្មសិទ្ធិ
owns,ផ្ទាល់ខ្លួន
oxford,អុកហ្វដ
oxide,អុកស៊ីត
oxygen,អុកស៊ីសែន
oz,អោន
ozone,អូហ្សូន
pa,ប៉ា
pace,ល្បឿន
pacific,ប៉ាស៊ីហ្វិក
pack,កញ្ចប់
package,កញ្ចប់
packages,កញ្ចប់
packaging,ការវេចខ្ចប់
packard,កញ្ចប់
packed,បានវេចខ្ចប់
packet,កញ្ចប់
packets,កញ្ចប់
packing,ទំហំវេចខ្ចប់
packs,កញ្ចប់
pad,បន្ទះ
pads,បន្ទះឆក់
page,ទំព័រ
pages,ទំព័រ
paid,បង់
pain,ការឈឺចាប់
painful,ឈឺចាប់
paint,លាប
painted,បានលាបថ្នាំ
painting,គំនូរ
paintings,គំនូរ
pair,គូ
pairs,ផ្គូផ្គង
pakistan,ប៉ាគីស្ថាន
palace,វាំង
pale,ស្រអាប់
palestine,យថាទស្សន៍
palestinian,ប៉ាឡេស្ទីន
palm,បាតដៃ
pan,ខ្ទះ
panama,ប៉ាណាម៉ា
panasonic,ប៉ាណាសូនិក
panel,បន្ទះ
panels,បន្ទះ
panic,ភ័យស្លន់ស្លោ
panties,ខោទ្រនាប់
pants,ខោ
paper,ក្រដាស
paperback,ក្រដាសប្រាក់
paperbacks,ក្រដាសប្រាក់
papers,ក្រដាស
para,ប៉ារ៉ា
parade,ការប្រគុំតន្រ្តី
paradise,ឋានសួគ៌
paragraph,កថាខណ្ឌ
paragraphs,កថាខណ្ឌ
paraguay,ប៉ារ៉ាហ្កាយ
parallel,ប៉ារ៉ាឡែល
parameter,ប៉ារ៉ាម៉ែត្រ
parameters,ប៉ារ៉ាម៉ែត្រ
parcel,កញ្ចប់
parent,ឪពុកម្តាយ
parental,ឪពុកម្តាយ
parenting,ការចិញ្ចឹមកូន
parents,ឪពុកម្តាយ
paris,ប៉ារីស
parish,ក្រុមជំនុំ
park,សួន
parker,អ្នកចតរថយន្ត
parking,កន្លែងចតរថយន្ត
parks,សួន
parliament,សភា
parliamentary,រដ្ឋសភា
part,ផ្នែក
partial,ផ្នែក
partially,ផ្នែកខ្លះ
participant,អ្នកចូលរួម
participants,អ្នកចូលរួម
participate,ចូលរួម
participated,ចូលរួម
participating,ការចូលរួម
participation,ការចូលរួម
particle,ភាគល្អិត
particles,ចំណុចតូចៗ
particular,ពិសេស
particularly,ជាពិសេស
parties,ភាគី
partition,ភាគ
partly,មួយផ្នែក
partner,ដៃគូ
partners,ដៃគូ
partnership,ភាពជាដៃគូ
partnerships,ភាពជាដៃគូ
parts,ផ្នែក
party,ភាគី
pass,ឆ្លងកាត់
passage,វគ្គ
passed,ឆ្លងកាត់
passenger,អ្នកដំណើរ
passengers,អ្នកដំណើរ
passes,ឆ្លងកាត់
passing,ឆ្លងកាត់
passion,ចំណង់ចំណូលចិត្ត
passive,អកម្ម
passport,លិខិតឆ្លងដែន
password,ពាក្យសម្ងាត់
passwords,ពាក្យសម្ងាត់
past,អតីតកាល
pasta,ប៉ាស្តា
paste,បិទភ្ជាប់
pastor,គ្រូគង្វាល
patch,បំណះ
patches,បំណះ
patent,ប៉ាតង់
patents,ប៉ាតង់
path,ផ្លូវ
pathology,រោគសាស្ត្រ
paths,ផ្លូវ
patient,អ្នកជំងឺ
patients,អ្នកជំងឺ
patio,ទីធ្លា
patrick,ប៉ាទ្រីក
patrol,ការល្បាត
pattern,លំនាំ
patterns,លំនាំ
paul,ប៉ូល
pavilion,ព្រះពន្លា
pay,បង់
payable,ត្រូវសង
payday,ថ្ងៃបើកប្រាក់ខែ
paying,ការបង់ប្រាក់
payment,ការទូទាត់
payments,ការទូទាត់
paypal,
payroll,ការបើកប្រាក់ខែ
pays,បង់
pc,កុំព្យូទ័រ
pdf,PDF
peace,សន្តិភាព
peaceful,សន្តិភាព
peak,កំពូល
pearl,គុជខ្យង
peas,សណ្តែកខៀវបារាំង
pediatric,សេវាថែទាំកុមារ
pee,នោម
peeing,ការដើរកំសាន្ត
peer,មិត្តភក្ដិ
peers,មិត្តភក្ដិ
pen,ប៊ិច
penalties,លក្ខណៈសម្បត្តិ
penalty,ពិន័យ
pencil,ខ្មៅដៃ
pendant,ទ្រនាប់
pending,កំពុងរង់ចាំ
penetration,ការជ្រៀតចូល
penguin,ផេនឃ្វីនName
peninsula,ឧបទ្វីប
penis,លិង្គ
pennsylvania,រដ្ឋPennsylvania
penny,កាក់
pens,ប៊ិច
pension,សោធននិវត្តន៍
pensions,ប្រាក់សោធននិវត្តន៍
pentium,ប្លាទីន
people,មនុស្ស
peoples,មនុស្ស
pepper,ម្រេច
percent,ភាគរយ
percentage,ភាគរយ
perception,ការយល់ឃើញហានិភ័យ
perfect,ល្អឥតខ្ចោះ
perfectly,ល្អឥតខ្ចោះ
perform,អនុវត្ត
performance,ប្រសិទ្ធភាព
performances,ប្រសិទ្ធភាព
performed,បានអនុវត្ត
performer,អ្នកសម្ដែង
performing,សម្តែង
performs,អនុវត្ត
perfume,ក្លិនក្រអូប
perhaps,ប្រហែល
period,រយៈពេល
periodic,ម្ដងម្កាល
periodically,តាមកាលកំណត់
periods,រយៈពេល
peripheral,បរិវេណ
peripherals,គ្រឿងកុំព្យូទ័រ
permanent,អចិន្ត្រៃយ៍
permission,ការអនុញ្ញាត
permissions,ការអនុញ្ញាត
permit,អនុញ្ញាត
permits,អនុញ្ញាត
permitted,អនុញ្ញាត
persian,ពឺស៊ានបែបបូរាណ
persistent,ឋិតថេរ
person,មនុស្ស
personal,ផ្ទាល់ខ្លួន
personality,បុគ្គលិកលក្ខណៈ
personalized,ផ្ទាល់ខ្លួន
personally,ផ្ទាល់ខ្លួន
personals,ផ្ទាល់ខ្លួន
personnel,បុគ្គលិក
persons,មនុស្ស
perspective,ទស្សនវិស័យ
perspectives,ទស្សនៈវិស័យ
peru,ប៉េរូ
pest,ប៉ិស្ត
pet,សត្វចិញ្ចឹម
peter,ពេត្រុស
petite,តូច
petition,ញត្តិ
petroleum,ប្រេងឥន្ធនៈ
phantom,ខ្មោច
pharmaceutical,ឱសថ
pharmaceuticals,ឱសថ
pharmacies,ឱសថស្ថាន
pharmacology,ឱសថវិទ្យា
pharmacy,ឱសថស្ថាន
phase,ដំណាក់កាល
phases,ដំណាក់កាល
phd,បណ្ឌិត
phenomenon,បាតុភូត
phentermine,
phi,ភី
phil,ហ្វីល
philadelphia,ហ្វីឡាដែលហ្វៀ
philip,ហ្វីលីព
philippines,ហ្វីលីពីន
philips,ហ្វីលីព
phillips,ភីលីព
philosophy,ទស្សនវិជ្ជា
phoenix,ហ្វូនីក
phone,ទូរស័ព្ទ
phones,ទូរស័ព្ទ
photo,រូបថត
photograph,រូបថត
photographer,អ្នកថតរូប
photographers,អ្នកថតរូប
photographic,រូបថត
photographs,រូបថត
photography,ការថតរូប
photos,រូបថត
photoshop,កាត់តរូបភាព
phrase,ឃ្លា
phrases,ឃ្លា
phys,រូបវិទ្យា
physical,រាងកាយ
physically,ផ្នែករាងកាយ
physician,គ្រូពេទ្យ
physicians,គ្រូពេទ្យ
physics,រូបវិទ្យា
physiology,សរីរវិទ្យា
pi,3.14
piano,ព្យាណូ
pic,រូបភាព
pichunter,
pick,រើស
picked,រើស
picking,ជ្រើសរើស
picks,រើស
pickup,កាលបរិច្ឆេទជ្រើសរើសយក
picnic,អាហារក្រៅផ្ទះ
pics,រូបភាព
picture,រូបភាព
pictures,រូបភាព
pie,ចំណិត
piece,ដុំ
pieces,បំណែក
pig,ជ្រូក
pike,pike
pill,ថ្នាំគ្រាប់
pillow,ខ្នើយ
pills,ថ្នាំគ្រាប់
pilot,អ្នកបើកយន្តហោះ
pin,ម្ជុល
pine,ស្រល់
pink,ពណ៌ផ្កាឈូក
pins,ម្ជុល
pioneer,អ្នកត្រួសត្រាយ
pipe,បំពង់
pipeline,បំពង់
pipes,បំពង់Comment
pirates,ចោរសមុទ្រ
pissing,ហត់
pit,រណ្តៅ
pitch,កម្ពស់សំឡេង
pittsburgh,ភីតស៍ប៊ឺក
pixel,ភីកសែល
pixels,ភីកសែល
pizza,ភីហ្សា
place,ទីកន្លែង
placed,បានដាក់
placement,ការដាក់
places,ទីកន្លែង
placing,ការដាក់
plain,ធម្មតា
plains,វាលទំនាប
plan,ផែនការ
plane,យន្តហោះ
planes,ផែនការ
planet,ភព
planets,ភព
planned,បានគ្រោងទុក
